d_loss:1.6486785, g_loss:0.585521
d_loss:1.4903035, g_loss:0.5971081
d_loss:1.7075411, g_loss:0.56214917
d_loss:1.8426647, g_loss:0.5330683
d_loss:1.7301035, g_loss:0.5295594
d_loss:1.5548129, g_loss:0.57297224
d_loss:1.3613311, g_loss:0.7986958
d_loss:1.319025, g_loss:0.8535657
d_loss:1.2296096, g_loss:0.79868525
d_loss:1.1447777, g_loss:0.8372868
d_loss:1.328695, g_loss:0.66586673
d_loss:1.333786, g_loss:0.6920483
d_loss:1.5226922, g_loss:0.66020805
d_loss:1.4660221, g_loss:0.6538298
d_loss:1.6204183, g_loss:0.5770408
d_loss:1.4912405, g_loss:0.5874475
d_loss:1.4798349, g_loss:0.6650379
d_loss:1.5818622, g_loss:0.5597067
d_loss:1.499655, g_loss:0.63178587
d_loss:1.5552421, g_loss:0.6459017
d_loss:1.3889694, g_loss:0.6241436
d_loss:1.5773318, g_loss:0.58660465
d_loss:1.8400726, g_loss:0.6440338
d_loss:1.7541606, g_loss:0.59036124
d_loss:1.5051724, g_loss:0.649258
d_loss:1.4596325, g_loss:0.75274265
d_loss:1.4222362, g_loss:0.71067846
d_loss:1.4790468, g_loss:0.6266482
d_loss:1.6079491, g_loss:0.6062445
d_loss:1.6464548, g_loss:0.58099467
d_loss:1.6180329, g_loss:0.58982646
d_loss:1.7100346, g_loss:0.59831583
d_loss:1.5949926, g_loss:0.7157956
d_loss:1.4680638, g_loss:0.7283894
d_loss:1.3799267, g_loss:0.69333315
d_loss:1.4169409, g_loss:0.69250226
d_loss:1.4512216, g_loss:0.69318426
d_loss:1.4439254, g_loss:0.6424995
d_loss:1.4948888, g_loss:0.68111825
d_loss:1.5026962, g_loss:0.68820035
d_loss:1.4264603, g_loss:0.72638774
d_loss:1.5534317, g_loss:0.6401845
d_loss:1.5224806, g_loss:0.61297995
d_loss:1.5314589, g_loss:0.5882715
d_loss:1.3256338, g_loss:0.6515414
d_loss:1.2560266, g_loss:0.66281086
d_loss:1.4445947, g_loss:0.6113008
d_loss:1.5687776, g_loss:0.5769375
d_loss:1.7432675, g_loss:0.53611934
d_loss:1.6594621, g_loss:0.61825407
d_loss:1.7081409, g_loss:0.61246204
d_loss:1.4391332, g_loss:0.7606325
d_loss:1.330143, g_loss:0.7824178
d_loss:1.2606966, g_loss:0.7655812
d_loss:1.2818325, g_loss:0.72389734
d_loss:1.4335237, g_loss:0.6753791
d_loss:1.5490587, g_loss:0.57448995
d_loss:1.6531231, g_loss:0.5619282
d_loss:1.6197157, g_loss:0.73594266
d_loss:1.5725352, g_loss:0.7549864
d_loss:1.4387252, g_loss:0.68036795
d_loss:1.4232281, g_loss:0.63707733
d_loss:1.5235481, g_loss:0.60111034
d_loss:1.7163764, g_loss:0.56270576
d_loss:1.7880836, g_loss:0.567701
d_loss:1.6951791, g_loss:0.6191417
d_loss:1.7328756, g_loss:0.6055373
d_loss:1.5724181, g_loss:0.63511086
d_loss:1.4001162, g_loss:0.77744776
d_loss:1.3566586, g_loss:0.77885115
d_loss:1.2466964, g_loss:0.8272105
d_loss:1.2688403, g_loss:0.7840324
d_loss:1.4802314, g_loss:0.641688
d_loss:1.4366432, g_loss:0.6441442
d_loss:1.5764146, g_loss:0.57815385
d_loss:1.6070658, g_loss:0.61090046
d_loss:1.4874794, g_loss:0.7491428
d_loss:1.3838261, g_loss:0.7140862
d_loss:1.3467196, g_loss:0.7556375
d_loss:1.2216032, g_loss:0.8210529
d_loss:1.3704333, g_loss:0.7471818
d_loss:1.3910816, g_loss:0.6898744
d_loss:1.4766111, g_loss:0.5872835
d_loss:1.469064, g_loss:0.5951141
d_loss:1.5165453, g_loss:0.64247525
d_loss:1.469583, g_loss:0.6716491
d_loss:1.3323631, g_loss:0.7308861
d_loss:1.3467013, g_loss:0.74683034
d_loss:1.3080934, g_loss:0.70305014
d_loss:1.3595417, g_loss:0.6892857
d_loss:1.5021437, g_loss:0.6906208
d_loss:1.6392467, g_loss:0.6484343
d_loss:1.822012, g_loss:0.5706163
d_loss:1.7147355, g_loss:0.5712304
d_loss:1.6559532, g_loss:0.68280506
d_loss:1.5568988, g_loss:0.7572761
d_loss:1.3543334, g_loss:0.78653
d_loss:1.346081, g_loss:0.72321355
d_loss:1.4197807, g_loss:0.61078286
d_loss:1.4245037, g_loss:0.6341033
d_loss:1.5660801, g_loss:0.60902286
d_loss:1.499397, g_loss:0.6456594
d_loss:1.3785458, g_loss:0.77503264
d_loss:1.3654451, g_loss:0.7594188
d_loss:1.3576733, g_loss:0.6961973
d_loss:1.3589296, g_loss:0.7294424
d_loss:1.3288431, g_loss:0.7258924
d_loss:1.4354413, g_loss:0.6504361
d_loss:1.3699243, g_loss:0.6609601
d_loss:1.4251708, g_loss:0.6956729
d_loss:1.416861, g_loss:0.6603631
d_loss:1.4071481, g_loss:0.65926623
d_loss:1.4667492, g_loss:0.6338806
d_loss:1.4956801, g_loss:0.6513463
d_loss:1.5348222, g_loss:0.6750985
d_loss:1.4409797, g_loss:0.7244377
d_loss:1.4892727, g_loss:0.70602167
d_loss:1.42682, g_loss:0.73819125
d_loss:1.4142258, g_loss:0.7660254
d_loss:1.5027267, g_loss:0.6940279
d_loss:1.5427899, g_loss:0.62161434
d_loss:1.5914185, g_loss:0.61924195
d_loss:1.449489, g_loss:0.6543137
d_loss:1.2850354, g_loss:0.7372201
d_loss:1.3042166, g_loss:0.74145615
d_loss:1.3489187, g_loss:0.7293272
d_loss:1.4510543, g_loss:0.66827774
d_loss:1.5432512, g_loss:0.655041
d_loss:1.4409344, g_loss:0.65266585
d_loss:1.4989654, g_loss:0.68467605
d_loss:1.4615738, g_loss:0.66722584
d_loss:1.4549803, g_loss:0.67002124
d_loss:1.4458839, g_loss:0.6615808
d_loss:1.5034287, g_loss:0.69904697
d_loss:1.3993437, g_loss:0.65426093
d_loss:1.3973016, g_loss:0.68558407
d_loss:1.452198, g_loss:0.6856234
d_loss:1.4063995, g_loss:0.6898725
d_loss:1.5474169, g_loss:0.6163901
d_loss:1.5793171, g_loss:0.58295655
d_loss:1.5998805, g_loss:0.62224436
d_loss:1.6136916, g_loss:0.62344736
d_loss:1.6573275, g_loss:0.58808196
d_loss:1.4785603, g_loss:0.642488
d_loss:1.3998029, g_loss:0.7136959
d_loss:1.4235499, g_loss:0.6928174
d_loss:1.5371317, g_loss:0.6747458
d_loss:1.4999598, g_loss:0.791405
d_loss:1.4045656, g_loss:0.8296541
d_loss:1.2671854, g_loss:0.7671178
d_loss:1.2792037, g_loss:0.7266173
d_loss:1.2883153, g_loss:0.7451596
d_loss:1.4178863, g_loss:0.6693096
d_loss:1.3234775, g_loss:0.77521485
d_loss:1.2989519, g_loss:0.743794
d_loss:1.3389971, g_loss:0.65141493
d_loss:1.4415424, g_loss:0.6102581
d_loss:1.3905134, g_loss:0.65257436
d_loss:1.4623201, g_loss:0.71428764
d_loss:1.4804292, g_loss:0.67394674
d_loss:1.5007448, g_loss:0.6305264
d_loss:1.4046068, g_loss:0.66709435
d_loss:1.5066903, g_loss:0.6872877
d_loss:1.3819915, g_loss:0.72575265
d_loss:1.3228498, g_loss:0.7564421
d_loss:1.3321705, g_loss:0.75415623
d_loss:1.3245261, g_loss:0.773028
d_loss:1.3568828, g_loss:0.812792
d_loss:1.3078605, g_loss:0.91645205
d_loss:1.29559, g_loss:0.8117775
d_loss:1.4284735, g_loss:0.6197076
d_loss:1.3873436, g_loss:0.6793
d_loss:1.5885134, g_loss:0.65108365
d_loss:1.6145418, g_loss:0.5854113
d_loss:1.4141419, g_loss:0.63340914
d_loss:1.3704343, g_loss:0.66939735
d_loss:1.4524124, g_loss:0.6761491
d_loss:1.299432, g_loss:0.77984977
d_loss:1.405391, g_loss:0.6947664
d_loss:1.3124156, g_loss:0.7189356
d_loss:1.3621982, g_loss:0.7493527
d_loss:1.3655229, g_loss:0.68942475
d_loss:1.5196581, g_loss:0.56128955
d_loss:1.4915061, g_loss:0.6286378
d_loss:1.4653394, g_loss:0.6873626
d_loss:1.4694984, g_loss:0.6669624
d_loss:1.3439441, g_loss:0.6540989
d_loss:1.4126741, g_loss:0.64775866
d_loss:1.4400525, g_loss:0.62931836
d_loss:1.4366767, g_loss:0.6520877
d_loss:1.5600559, g_loss:0.6406548
d_loss:1.5804262, g_loss:0.68892807
d_loss:1.5499345, g_loss:0.6403496
d_loss:1.4733279, g_loss:0.61187446
d_loss:1.4148669, g_loss:0.7133616
d_loss:1.3288835, g_loss:0.72198015
d_loss:1.415593, g_loss:0.70545316
d_loss:1.4068403, g_loss:0.7007758
d_loss:1.5227325, g_loss:0.5901232
d_loss:1.6814252, g_loss:0.65636635
d_loss:1.6612537, g_loss:0.7351936
d_loss:1.5121697, g_loss:0.7073045
d_loss:1.372448, g_loss:0.71138227
d_loss:1.338882, g_loss:0.7938675
d_loss:1.4191536, g_loss:0.6489999
d_loss:1.4381269, g_loss:0.6329136
d_loss:1.4189606, g_loss:0.7950008
d_loss:1.4508457, g_loss:0.7772622
d_loss:1.3918178, g_loss:0.68628263
d_loss:1.3898175, g_loss:0.6746373
d_loss:1.3162123, g_loss:0.74114573
d_loss:1.2797043, g_loss:0.8051878
d_loss:1.380369, g_loss:0.72147423
d_loss:1.3552914, g_loss:0.7069093
d_loss:1.3879015, g_loss:0.6795137
d_loss:1.4986608, g_loss:0.61085737
d_loss:1.5850155, g_loss:0.6470661
d_loss:1.3691447, g_loss:0.704365
d_loss:1.4468281, g_loss:0.7163577
d_loss:1.4285085, g_loss:0.6756427
d_loss:1.5424111, g_loss:0.60662794
d_loss:1.5377938, g_loss:0.6408992
d_loss:1.5283644, g_loss:0.7009008
d_loss:1.4333353, g_loss:0.6130943
d_loss:1.4703958, g_loss:0.6291331
d_loss:1.4719, g_loss:0.6650052
d_loss:1.3901523, g_loss:0.6640426
d_loss:1.3301909, g_loss:0.71533686
d_loss:1.2446849, g_loss:0.8274469
d_loss:1.2351251, g_loss:0.7715432
d_loss:1.4410341, g_loss:0.577145
